,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
502,"more, than 200 DM",9,existing credits paid back duly till now,radio/television,1126,between 100 & 500 DM,"more, than 7 years",2,male & divorced/separated,none,4,real estate,49,none,own,1,skilled employee/official,1,none,yes,good
503,between 0 & 200 DM,24,critical account/other credits existing (not at this bank),radio/television,1216,between 100 & 500 DM,"less, than 1 year",4,male & single,none,4,unknown/no property,38,bank,own,2,skilled employee/official,2,none,yes,bad
504,"less, than 0 DM",24,existing credits paid back duly till now,car (new),1207,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,bad
505,no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/no savings account,between 1 & 4 years,4,male & single,guarantor,4,building society savings agreement/life insurance,27,none,own,1,unskilled & resident,1,none,yes,bad
506,"more, than 200 DM",15,critical account/other credits existing (not at this bank),car (used),2360,between 500 & 1000 DM,between 1 & 4 years,2,male & single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
507,between 0 & 200 DM,15,all credits at this bank paid back duly,car (new),6850,between 100 & 500 DM,unemployed,1,male & single,none,2,building society savings agreement/life insurance,34,none,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,bad
508,no checking account,24,existing credits paid back duly till now,radio/television,1413,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,2,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,none,yes,good
509,no checking account,39,existing credits paid back duly till now,car (used),8588,between 100 & 500 DM,"more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",45,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
510,"less, than 0 DM",12,existing credits paid back duly till now,car (new),759,"less, than 100 DM",between 4 & 7 years,4,male & single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes,bad
511,no checking account,36,existing credits paid back duly till now,car (used),4686,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,unknown/no property,32,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
512,"more, than 200 DM",15,existing credits paid back duly till now,business,2687,"less, than 100 DM",between 4 & 7 years,2,male & single,none,4,building society savings agreement/life insurance,26,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
513,between 0 & 200 DM,12,delay in paying off in the past,radio/television,585,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee/official,1,none,yes,good
514,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/no savings account,"less, than 1 year",4,male & single,none,1,building society savings agreement/life insurance,54,none,own,1,skilled employee/official,1,none,yes,good
515,"less, than 0 DM",6,critical account/other credits existing (not at this bank),car (new),609,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,3,building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,none,no,good
516,"less, than 0 DM",6,critical account/other credits existing (not at this bank),car (new),1361,"less, than 100 DM","less, than 1 year",2,male & single,none,4,real estate,40,none,own,1,unskilled & resident,2,none,no,good
517,no checking account,36,critical account/other credits existing (not at this bank),furniture/equipment,7127,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
518,"less, than 0 DM",6,existing credits paid back duly till now,car (new),1203,between 100 & 500 DM,"more, than 7 years",3,male & single,none,2,building society savings agreement/life insurance,43,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
519,no checking account,6,critical account/other credits existing (not at this bank),radio/television,700,unknown/no savings account,"more, than 7 years",4,male & single,none,4,unknown/no property,36,none,for free,2,skilled employee/official,1,none,yes,good
520,no checking account,24,critical account/other credits existing (not at this bank),repairs,5507,"less, than 100 DM","more, than 7 years",3,male & single,none,4,unknown/no property,44,none,for free,2,skilled employee/official,1,none,yes,good
521,"less, than 0 DM",18,existing credits paid back duly till now,radio/television,3190,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,bad
522,"less, than 0 DM",48,no credits taken/all credits paid back duly,furniture/equipment,7119,"less, than 100 DM",between 1 & 4 years,3,male & single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,none,yes,bad
523,no checking account,24,existing credits paid back duly till now,car (used),3488,between 100 & 500 DM,between 4 & 7 years,3,female & divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,none,yes,good
524,between 0 & 200 DM,18,existing credits paid back duly till now,radio/television,1113,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled & resident,2,none,yes,good
525,between 0 & 200 DM,26,existing credits paid back duly till now,car (used),7966,"less, than 100 DM","less, than 1 year",2,male & single,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,none,yes,good
526,no checking account,15,critical account/other credits existing (not at this bank),education,1532,between 100 & 500 DM,between 1 & 4 years,4,female & divorced/separated/married,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,none,yes,good
527,no checking account,4,critical account/other credits existing (not at this bank),radio/television,1503,"less, than 100 DM",between 4 & 7 years,2,male & single,none,1,real estate,42,none,own,2,unskilled & resident,2,none,yes,good
528,"less, than 0 DM",36,existing credits paid back duly till now,radio/television,2302,"less, than 100 DM",between 1 & 4 years,4,male & divorced/separated,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee/official,1,none,yes,bad
529,"less, than 0 DM",6,existing credits paid back duly till now,car (new),662,"less, than 100 DM","less, than 1 year",3,male & single,none,4,real estate,41,none,own,1,unskilled & resident,2,"yes, registered under the customers name",yes,good
530,between 0 & 200 DM,36,existing credits paid back duly till now,education,2273,"less, than 100 DM",between 4 & 7 years,3,male & single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,2,none,yes,good
531,between 0 & 200 DM,15,existing credits paid back duly till now,car (new),2631,between 100 & 500 DM,between 1 & 4 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
532,no checking account,12,delay in paying off in the past,car (used),1503,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,none,yes,good
533,no checking account,24,existing credits paid back duly till now,radio/television,1311,between 100 & 500 DM,between 4 & 7 years,4,male & married/widowed,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
534,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/no savings account,"less, than 1 year",4,male & single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,good
535,"more, than 200 DM",21,critical account/other credits existing (not at this bank),education,2319,"less, than 100 DM","less, than 1 year",2,male & divorced/separated,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee/official,1,none,yes,bad
536,"less, than 0 DM",6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,4,female & divorced/separated/married,none,3,building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
537,between 0 & 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,3612,"less, than 100 DM","more, than 7 years",3,female & divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
538,"less, than 0 DM",48,existing credits paid back duly till now,car (new),7763,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,none,yes,bad
539,"more, than 200 DM",18,existing credits paid back duly till now,furniture/equipment,3049,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled & resident,1,none,yes,good
540,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,1534,"less, than 100 DM","less, than 1 year",1,male & married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,none,yes,bad
541,no checking account,24,delay in paying off in the past,car (new),2032,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
542,"less, than 0 DM",30,existing credits paid back duly till now,furniture/equipment,6350,unknown/no savings account,"more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,none,yes,bad
543,"more, than 200 DM",18,existing credits paid back duly till now,furniture/equipment,2864,"less, than 100 DM",between 1 & 4 years,2,male & single,none,1,real estate,34,none,own,1,unskilled & resident,2,none,yes,bad
544,no checking account,12,critical account/other credits existing (not at this bank),car (new),1255,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,61,none,own,2,unskilled & resident,1,none,yes,good
545,"less, than 0 DM",24,delay in paying off in the past,car (new),1333,"less, than 100 DM",unemployed,4,male & single,none,2,real estate,43,none,for free,2,skilled employee/official,2,none,yes,bad
546,no checking account,24,critical account/other credits existing (not at this bank),car (new),2022,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,"less, than 100 DM",between 4 & 7 years,3,male & single,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee/official,2,none,yes,good
548,"less, than 0 DM",12,all credits at this bank paid back duly,radio/television,626,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled & resident,1,none,yes,bad
549,no checking account,48,critical account/other credits existing (not at this bank),car (used),8858,unknown/no savings account,between 4 & 7 years,2,male & single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
550,no checking account,12,critical account/other credits existing (not at this bank),repairs,996,unknown/no savings account,between 4 & 7 years,4,female & divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,good
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,between 500 & 1000 DM,"more, than 7 years",2,male & single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled & resident,2,none,yes,good
552,"less, than 0 DM",48,existing credits paid back duly till now,radio/television,6999,"less, than 100 DM",between 4 & 7 years,1,male & married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
553,between 0 & 200 DM,12,critical account/other credits existing (not at this bank),car (new),1995,between 100 & 500 DM,"less, than 1 year",4,male & single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee/official,1,none,yes,good
554,between 0 & 200 DM,9,existing credits paid back duly till now,education,1199,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
555,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,1331,"less, than 100 DM","less, than 1 year",2,male & single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee/official,1,none,yes,bad
556,between 0 & 200 DM,18,no credits taken/all credits paid back duly,car (new),2278,between 100 & 500 DM,"less, than 1 year",3,female & divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,none,yes,bad
557,no checking account,21,no credits taken/all credits paid back duly,car (new),5003,unknown/no savings account,between 1 & 4 years,1,female & divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
558,"less, than 0 DM",24,all credits at this bank paid back duly,furniture/equipment,3552,"less, than 100 DM",between 4 & 7 years,3,male & single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee/official,1,none,yes,bad
559,between 0 & 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,1928,"less, than 100 DM","less, than 1 year",2,male & single,none,2,real estate,31,none,own,2,unskilled & resident,1,none,yes,bad
560,"less, than 0 DM",24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,"more, than 7 years",4,male & single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,good
561,"less, than 0 DM",24,all credits at this bank paid back duly,radio/television,1546,"less, than 100 DM",between 4 & 7 years,4,male & single,guarantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled & resident,1,none,yes,bad
562,"more, than 200 DM",6,delay in paying off in the past,radio/television,683,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,none,yes,good
563,between 0 & 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account,between 1 & 4 years,1,male & single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
564,between 0 & 200 DM,24,delay in paying off in the past,business,4712,unknown/no savings account,between 1 & 4 years,4,male & single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
565,between 0 & 200 DM,24,delay in paying off in the past,radio/television,1553,between 100 & 500 DM,between 4 & 7 years,3,female & divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
566,"less, than 0 DM",12,existing credits paid back duly till now,car (new),1372,"less, than 100 DM",between 4 & 7 years,2,male & divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,1,none,yes,bad
567,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2578,"more, than 1000 DM","more, than 7 years",2,male & single,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,1,none,yes,good
568,between 0 & 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/no savings account,between 4 & 7 years,4,male & single,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
569,"less, than 0 DM",48,existing credits paid back duly till now,radio/television,6758,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
570,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,3234,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
571,no checking account,30,critical account/other credits existing (not at this bank),radio/television,5954,"less, than 100 DM",between 4 & 7 years,3,male & single,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee/official,1,none,yes,good
572,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
573,"less, than 0 DM",15,existing credits paid back duly till now,business,806,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled & resident,1,none,yes,good
574,between 0 & 200 DM,9,existing credits paid back duly till now,radio/television,1082,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled & resident,1,none,yes,good
575,no checking account,15,critical account/other credits existing (not at this bank),furniture/equipment,2788,"less, than 100 DM",between 4 & 7 years,2,female & divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee/official,1,none,yes,good
576,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,2930,"less, than 100 DM",between 4 & 7 years,2,female & divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes,good
577,no checking account,24,critical account/other credits existing (not at this bank),education,1927,unknown/no savings account,between 1 & 4 years,3,female & divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
578,between 0 & 200 DM,36,critical account/other credits existing (not at this bank),car (new),2820,"less, than 100 DM","less, than 1 year",4,male & divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,bad
579,no checking account,24,existing credits paid back duly till now,retraining,937,"less, than 100 DM","less, than 1 year",4,male & married/widowed,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled & resident,1,none,yes,good
580,between 0 & 200 DM,18,critical account/other credits existing (not at this bank),car (new),1056,"less, than 100 DM","more, than 7 years",3,male & single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,none,yes,bad
581,between 0 & 200 DM,12,critical account/other credits existing (not at this bank),car (new),3124,"less, than 100 DM","less, than 1 year",1,male & single,none,3,real estate,49,bank,own,2,unskilled & resident,2,none,yes,good
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,none,yes,good
583,between 0 & 200 DM,36,existing credits paid back duly till now,repairs,2384,"less, than 100 DM","less, than 1 year",4,male & single,none,1,unknown/no property,33,none,rent,1,unskilled & resident,1,none,yes,bad
584,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,"more, than 7 years",4,female & divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
585,"less, than 0 DM",18,existing credits paid back duly till now,furniture/equipment,2039,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,none,yes,bad
586,"less, than 0 DM",9,critical account/other credits existing (not at this bank),car (new),2799,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes,good
587,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,1289,"less, than 100 DM",between 1 & 4 years,4,male & single,guarantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled & resident,1,none,yes,good
588,"less, than 0 DM",18,existing credits paid back duly till now,domestic appliances,1217,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,3,real estate,47,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
589,"less, than 0 DM",12,critical account/other credits existing (not at this bank),furniture/equipment,2246,"less, than 100 DM","more, than 7 years",3,male & single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,none,yes,bad
590,"less, than 0 DM",12,critical account/other credits existing (not at this bank),radio/television,385,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,3,real estate,58,none,own,4,unskilled & resident,1,"yes, registered under the customers name",yes,good
591,between 0 & 200 DM,24,delay in paying off in the past,car (new),1965,unknown/no savings account,between 1 & 4 years,4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
592,no checking account,21,existing credits paid back duly till now,business,1572,"more, than 1000 DM","more, than 7 years",4,female & divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled & resident,1,none,yes,good
593,between 0 & 200 DM,24,existing credits paid back duly till now,car (new),2718,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
594,"less, than 0 DM",24,all credits at this bank paid back duly,others,1358,unknown/no savings account,"more, than 7 years",4,male & single,none,3,"car or other, not in attribute 6",40,stores,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
595,between 0 & 200 DM,6,all credits at this bank paid back duly,car (new),931,between 100 & 500 DM,"less, than 1 year",1,female & divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled & resident,1,none,yes,bad
596,"less, than 0 DM",24,existing credits paid back duly till now,car (new),1442,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee/official,1,none,yes,bad
597,between 0 & 200 DM,24,no credits taken/all credits paid back duly,business,4241,"less, than 100 DM",between 1 & 4 years,1,male & single,none,4,real estate,36,none,own,3,unskilled & resident,1,"yes, registered under the customers name",yes,bad
598,no checking account,18,critical account/other credits existing (not at this bank),car (new),2775,"less, than 100 DM",between 4 & 7 years,2,male & single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,none,yes,bad
599,no checking account,24,delay in paying off in the past,business,3863,"less, than 100 DM",between 1 & 4 years,1,male & single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,none,yes,good
600,between 0 & 200 DM,7,existing credits paid back duly till now,radio/television,2329,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,good
601,between 0 & 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,none,yes,bad
602,between 0 & 200 DM,24,all credits at this bank paid back duly,education,1837,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled & resident,1,none,yes,bad
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",28,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
604,"more, than 200 DM",10,existing credits paid back duly till now,furniture/equipment,1275,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,good
605,"less, than 0 DM",24,all credits at this bank paid back duly,furniture/equipment,2828,between 500 & 1000 DM,between 1 & 4 years,4,male & single,none,4,real estate,22,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
606,no checking account,24,critical account/other credits existing (not at this bank),business,4526,"less, than 100 DM",between 1 & 4 years,3,male & single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
607,between 0 & 200 DM,36,existing credits paid back duly till now,radio/television,2671,between 100 & 500 DM,between 1 & 4 years,4,female & divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,bad
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,"less, than 100 DM","less, than 1 year",4,male & single,none,1,real estate,33,none,own,1,skilled employee/official,1,none,yes,good
609,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,"more, than 7 years",4,male & single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,none,yes,good
610,"less, than 0 DM",12,existing credits paid back duly till now,domestic appliances,741,between 100 & 500 DM,unemployed,4,female & divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,none,yes,bad
611,"more, than 200 DM",10,existing credits paid back duly till now,car (new),1240,between 100 & 500 DM,"more, than 7 years",1,female & divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled & resident,2,none,yes,bad
612,"less, than 0 DM",21,existing credits paid back duly till now,radio/television,3357,"more, than 1000 DM","less, than 1 year",4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee/official,1,none,yes,good
613,"less, than 0 DM",24,all credits at this bank paid back duly,car (used),3632,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee/official,1,none,no,good
614,no checking account,18,delay in paying off in the past,furniture/equipment,1808,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,bad
615,between 0 & 200 DM,48,no credits taken/all credits paid back duly,business,12204,unknown/no savings account,between 1 & 4 years,2,male & single,none,2,"car or other, not in attribute 6",48,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
616,between 0 & 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/no savings account,between 1 & 4 years,2,male & single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,none,yes,good
617,"less, than 0 DM",6,critical account/other credits existing (not at this bank),car (new),3676,"less, than 100 DM",between 1 & 4 years,1,male & single,none,3,real estate,37,none,rent,3,skilled employee/official,2,none,yes,good
618,between 0 & 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,between 100 & 500 DM,between 1 & 4 years,2,female & divorced/separated/married,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee/official,1,none,yes,bad
619,no checking account,12,existing credits paid back duly till now,car (new),640,"less, than 100 DM",between 1 & 4 years,4,male & divorced/separated,none,2,real estate,49,none,own,1,unskilled & resident,1,none,yes,good
620,between 0 & 200 DM,21,critical account/other credits existing (not at this bank),business,3652,"less, than 100 DM",between 4 & 7 years,2,male & single,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,good
621,no checking account,18,critical account/other credits existing (not at this bank),car (new),1530,"less, than 100 DM",between 1 & 4 years,3,male & single,none,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,none,yes,bad
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown/no savings account,between 1 & 4 years,4,male & divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,none,yes,bad
623,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,1858,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee/official,1,none,yes,good
624,"less, than 0 DM",18,existing credits paid back duly till now,radio/television,2600,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,unknown/no property,65,none,for free,2,skilled employee/official,1,none,yes,bad
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings account,"more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee/official,1,none,yes,good
626,"more, than 200 DM",6,existing credits paid back duly till now,furniture/equipment,2116,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,41,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
627,between 0 & 200 DM,9,all credits at this bank paid back duly,car (new),1437,between 100 & 500 DM,between 4 & 7 years,2,male & single,none,3,unknown/no property,29,none,own,1,skilled employee/official,1,none,yes,bad
628,no checking account,42,critical account/other credits existing (not at this bank),furniture/equipment,4042,between 500 & 1000 DM,between 1 & 4 years,4,male & single,none,4,real estate,36,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown/no savings account,"more, than 7 years",1,male & single,none,4,real estate,64,none,own,1,unskilled & resident,1,none,yes,good
630,"less, than 0 DM",24,existing credits paid back duly till now,radio/television,3660,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,good
631,"less, than 0 DM",18,all credits at this bank paid back duly,furniture/equipment,1553,"less, than 100 DM",between 1 & 4 years,4,male & single,none,3,"car or other, not in attribute 6",44,bank,own,1,skilled employee/official,1,none,yes,bad
632,between 0 & 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/no savings account,"less, than 1 year",4,male & single,none,1,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,good
